,Label,Area,BX,BY,Width,Height,RRLength,RRWidth
1,fish1.tif,179.557,9.137,13.848,33.978,8.709,33.572,5.331
2,fish1.tif,91.513,7.078,12.643,29.219,5.082,0,0
2,fish1-side.tif,304.389,6.07,5.774,33.162,15.471,31.888,9.552
4,fish1-side.tif,207.598,2.306,6.534,31.669,10.069,31.45,10.396
6,fish2.tif,120.758,2.282,6.194,28.493,4.303,28.493,4.271
6,fish2.tif,86.564,2.258,6.065,28.129,4.387,,
7,fish2-side.tif,245.628,2.289,10.26,29.99,11.522,29.205,8.481
8,fish2-side.tif,127.952,2.372,9.07,26.023,8.442,0,0
9,fish3.tif,196.183,4.399,4.132,32.925,11.797,32.343,6.088
10,fish3.tif,121.34,4.865,5.999,31.659,7.465,0,0
11,fish3-side,315.118,5.417,5.167,33.083,16.75,31.649,9.967
12,fish3-side,212.931,6.417,8.167,31.417,11.667,31.649,9.967
13,fish4,190.397,4.414,5.517,32.552,9.655,32.049,5.906
14,fish4,120.033,4.69,6.552,32,6.207,0,0
15,fish4-side,295.233,3.757,8.633,31.415,9.912,31.298,9.434
16,fish4-side,211.674,3.757,8.793,31.415,9.592,0,0
17,fish-5.tif,156.861,2.621,3.31,30.828,5.862,30.732,5.169
18,fish-5.tif,95.973,3.375,5.25,28.625,6.5,0,0
19,fish5-side.tif,324.438,3.417,4,31.75,11.25,31.386,10.417
20,fish5-side.tif,154.364,3.069,3.783,26.769,8.637,0,0
21,fish6.tif,166.764,1.484,6.452,30.839,7.677,30.501,5.471
22,fish6.tif,113.041,1.677,7.226,30.645,5.548,0,0
23,fish6-side,324.015,2.346,3.214,33.273,16.419,31.784,10.197
24,fish6-side,219.381,3.388,5.647,31.709,10.599,31.784,10.197
25,fish7.tif,124.821,6.429,4.143,29.571,7.214,29.222,4.288
26,fish7.tif,81.365,7.226,10.968,27.032,4.774,10.034,4.039
27,fish7-side.tif,277.831,4.969,3.281,31.406,12.281,30.576,9.124
28,fish7-side,186.446,4.636,6.818,31,8.818,30.766,8.758
29,fish8-copy.tif,174.038,4.515,8.439,32.2,6.588,31.962,5.413
30,fish8.tif,97.781,7.355,5.355,28.968,4.968,0,0
31,fish8-side,304.473,9.193,5.276,31.815,10.552,31.465,9.718
32,fish8-side,248.679,6.776,6.776,34.663,10.512,0,0
